actorid,name.data,name.orig,name.orig.full,name.orig.fulleng,namechange,newname,newname.full.mt,newname.fulleng,org,dyadid,primary.party,osid,osvcoalition,osvcoalitionid,nsid,nscoalition,nscoalitionid,splinter,name.prev,actorid.prev,split.temp,name.split.temp,actorid.split.temp,alliance,name.alliance,actorid.alliance,join.group,group.name,actorid.group,location,gwno.loc,region,conflictid,origin,parent.org.subset,origin.name,origin.notes,ideology,ethnicity,religion,sources,delete,,
1002,PLA,PLA,,People's Liberation Army,0,,,,1,466,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,China,710,3,3-Jan,military faction,1,Chinese Army,,Communist,Han,None,UCDP,,,
1003,DSE,DSE,Dimkratikos stratos ellados,Democratic Army of Greece,0,,,,1,467,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Greece,350,1,4-Jan,political party,1,DSE,,Communist,Greek,None,UCDP,,,
1005,KDPI,Republic of Kurdistan,Republic of Kurdistan,Republic of Kurdistan,1,KDPI,Partêë Dê_mokiratêë Kurdistanêë ê_ran,Kurdish Democratic Party of Iran,1,260,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Iran,630,2,6-Jan,political party,1,KDPI,,Secessionist,Kurdish,None,UCDP,,,
1009,Huk,Huk,Hukbong Mapagpalaya ng Bayan,People_‹_s Liberation Army,0,,,,1,469,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Philippines,840,3,10-Jan,anti-colonial,0,Huk,anti-Japanese force in WWII,Communist,Unclear,None,UCDP,,,
1010,CPP,CPP,Communist Party of the Philippines,Communist Party of the Philippines,0,,,,1,217,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Philippines,840,3,10-Jan,political party,1,CPP,,Communist,Unclear,None,UCDP,,,
1011,"Military faction (forces of Honasan, Abenina & Zumel)","Military faction (forces of Honasan, Abenina & Zumel)",,"Military faction (forces of Honasan, Abenina & Zumel)",0,,,,1,220,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Philippines,840,3,10-Jan,military faction,1,Philippino Army,,Coup - opposition to peace deal,Unclear,None,UCDP,,,
1012,Forest Brothers,Forest Brothers,Metsavennad,Forest Brothers,0,,,,1,478,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Russia (Soviet Union),365,1,11-Jan,occupying military,0,Forest Brothers,Collaborated with occupying Nazi forces,Secessionist,Baltic,None,UCDP,,,
1013,LNPA,LNPA,,Latvian National Guerilla Association,0,,,,1,481,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Russia (Soviet Union),365,1,12-Jan,occupying military,0,LNPA,Collaborated with occupying Nazi forces,Secessionist,Latvian,None,UCDP,,,
1014,LTS(p)A,LTS(p)A,,Association of the Latvian Fatherland Guards,0,,,,1,479,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Russia (Soviet Union),365,1,12-Jan,alliance; religious,0,LTS(p)A,Umbrella org of smaller partisan (Latvian secessionist) groups; some Catholic clergy in leadership,Secessionist,Latvian,Christian,UCDP,,,
1015,BDPS,BDPS,Bendras demokratinio pasipriesinimo sajudis,United Democratic Resistance Movement,0,,,,1,482,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Russia (Soviet Union),365,1,13-Jan,alliance,0,BDPS,Umbrella org of existing partisan (Lithuania secessionist) groups,Secessionist,Lithuanian,Christian,UCDP,,,
1016,UPA,UPA,,Ukraine Partisan Army,0,,,,1,483,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Russia (Soviet Union),365,1,14-Jan,political party,0,UPA,Leadership came from nationalist/secessionist political party,Secessionist,Ukrainian,None,UCDP,,,
1018,Taiwanese insurgents,Taiwanese insurgents,,Taiwanese insurgents,0,,,,1,580,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,China,710,3,18-Jan,deposed government,0,Chinese Government,Government continued to fight after being defeated by Mao's rebellino,Anti-communist; Secessionist,Han,None,UCDP,,,
1019,CPI,CPI,,Communist Party of India,0,,,,1,"689, 756",NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,"Hyderabadh, India","751, 750",3,"1-19, 1-29",political party,0,CPI,Party fought gov 1948-1951,Communist,Indian,None,UCDP,,,
1021,KNU,KNU,,Karen National Union,0,,,,1,306,NA,NA,0,,Feb-53,0,,1,KNUP,1757,0,,NA,0,,,0,,NA,"Myanmar (Burma), Thailand","775, 800",3,23-Jan,alliance,0,KNA; BKNA; KCO,"Alliance of several Karen secessionist groups; formed an even bigger alliance in the 60s, before reverting to old KNU",Secessionist,Karen,Buddhist,UCDP,,,
1022,God's Army,God's Army,,God's Army,0,,,,1,314,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,23-Jan,splinter,1,KNU,Splintered from KNU in 1997,Secessionist,Karen,Buddhist,UCDP,,,
1023,CPB,CPB,,Communist Party of Burma,0,,,,1,305,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,24-Jan,political party; anti-colonial,1,CPB,"Fought British and Japanese, but Red and White factions split off prior to independence",Communist,Mixed,None,UCDP,,,
1024,CPB-RF,CPB-RF,,Communist Party of Burma-Red Flag,0,,,,1,677,NA,NA,0,,,0,,1,CPB,1023,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,24-Jan,splinter,1,CPB,Split from CPB prior to independence,Communist,Mixed,None,UCDP,,,
1025,"PVO - ""White Band"" faction","PVO - ""White Band"" faction",,"People's Volunteer Organization-""White Band"" faction",0,,,,1,678,NA,NA,0,,,0,,1,CPB,1023,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,24-Jan,anti-colonial,1,PVO,Split from anti-Japanese coalition to fight new govt,Social Democratic,Mixed,None,UCDP,,,
1026,ABSDF,ABSDF,,All-Burma Students Democratic Front,0,,,,1,322,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,24-Jan,protests,0,ABSDF,Emerged from anti-coup/pro-democracy protests in 1988; alliances with several separatist movements,Democracy,Mixed,None,UCDP,,,
1029,RSO,RSO,,Rohingya Solidarity Organisation,0,,,,1,312,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,25-Jan,splinter,1,RPF,Splintered from Rohingya Patriotic Front,Secessionist; Islamist,Rohingya,Islam,Wikipedia,,,
1030,MFL-MUF,MFL-MUF,,Mon Freedom League-Mon United Front,0,,,,1,683,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,26-Jan,political party,0,MFL-MUF,"Formed party, and soon after militant wing, to push for Mon state",Secessionist,Mon,None,UCDP,,,
1031,MPF,MPSG,,Mon People_‹_s Solidarity Group,1,MPF,,Mon People_‹_s Front,1,684,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,26-Jan,alliance,1,MPF,Unified several Mon insurgent groups,Secessionist,Mon,None,"South, Mon Nationalism and Civil War in Burma",,,
1032,NMSP,NMSP,,New Mon State Party,0,,,,1,310,NA,NA,0,,,0,,1,MPF,1031,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,26-Jan,splinter,1,MPF,Broke from previous group in rejection of ceasefire,Secessionist,Mon,None,"South, Mon Nationalism and Civil War in Burma",,,
