"actorid","name.data","name.orig","name.orig.full","name.orig.fulleng","namechange","newname","newname.full.mt","newname.fulleng","org","dyadid","primary.party","osid","osvcoalition","osvcoalitionid","nsid","nscoalition","nscoalitionid","splinter","name.prev","actorid.prev","split.temp","name.split.temp","actorid.split.temp","alliance","name.alliance","actorid.alliance","join.group","group.name","actorid.group","location","gwno.loc","region","conflictid","origin"
1002,"PLA","PLA","","People's Liberation Army",0,"","","",1,"466",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"China","710","3","1-3",NA
1003,"DSE","DSE","Dimkratikos stratos ellados","Democratic Army of Greece",0,"","","",1,"467",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Greece","350","1","1-4",NA
1005,"KDPI","Republic of Kurdistan","Republic of Kurdistan","Republic of Kurdistan",1,"KDPI","Partî Dêmokiratî Kurdistanî Êran","Kurdish Democratic Party of Iran",1,"260",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iran","630","2","1-6",NA
1006,"Republic of Azerbaijan","Republic of Azerbaijan","","Republic of Azerbaijan",0,"","","",1,"468",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iran","630","2","1-7",NA
1009,"Huk","Huk","Hukbong Mapagpalaya ng Bayan","People’s Liberation Army",0,"","","",1,"469",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-10",NA
1010,"CPP","CPP","Communist Party of the Philippines","Communist Party of the Philippines",0,"","","",1,"217",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-10",NA
1011,"Military faction (forces of Honasan, Abenina & Zumel)","Military faction (forces of Honasan, Abenina & Zumel)","","Military faction (forces of Honasan, Abenina & Zumel)",0,"","","",1,"220",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-10","military faction"
1012,"Forest Brothers","Forest Brothers","Metsavennad","Forest Brothers",0,"","","",1,"478",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Russia (Soviet Union)","365","1","1-11",NA
1013,"LNPA","LNPA","","Latvian National Guerilla Association",0,"","","",1,"481",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Russia (Soviet Union)","365","1","1-12",NA
1014,"LTS(p)A","LTS(p)A","","Association of the Latvian Fatherland Guards",0,"","","",1,"479",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Russia (Soviet Union)","365","1","1-12",NA
1015,"BDPS","BDPS","Bendras demokratinio pasipriesinimo sajudis","United Democratic Resistance Movement",0,"","","",1,"482",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Russia (Soviet Union)","365","1","1-13",NA
1016,"UPA","UPA","","Ukraine Partisan Army",0,"","","",1,"483",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Russia (Soviet Union)","365","1","1-14",NA
1018,"Taiwanese insurgents","Taiwanese insurgents","","Taiwanese insurgents",0,"","","",1,"580",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"China","710","3","1-18",NA
1019,"CPI","CPI","","Communist Party of India",0,"","","",1,"689, 756",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Hyderabadh, India","751, 750","3","1-19, 1-29",NA
1021,"KNU","KNU","","Karen National Union",0,"","","",1,"306",NA,NA,0,"","2-53",0,"",1,"KNUP",1757,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma), Thailand","775, 800","3","1-23","splinter"
1022,"God's Army","God's Army","","God's Army",0,"","","",1,"314",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-23",NA
1023,"CPB","CPB","","Communist Party of Burma",0,"","","",1,"305",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-24",NA
1024,"CPB-RF","CPB-RF","","Communist Party of Burma-Red Flag",0,"","","",1,"677",NA,NA,0,"","",0,"",1,"CPB",1023,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-24","splinter"
1025,"PVO - ""White Band"" faction","PVO - ""White Band"" faction","","People's Volunteer Organization-""White Band"" faction",0,"","","",1,"678",NA,NA,0,"","",0,"",1,"CPB",1023,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-24","splinter"
1026,"ABSDF","ABSDF","","All-Burma Students Democratic Front",0,"","","",1,"322",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-24",NA
1029,"RSO","RSO","","Rohingya Solidarity Organisation",0,"","","",1,"312",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-25",NA
1030,"MFL-MUF","MFL-MUF","","Mon Freedom League-Mon United Front",0,"","","",1,"683",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-26",NA
1031,"MPF","MPSG","","Mon People’s Solidarity Group",1,"MPF","","Mon People’s Front",1,"684",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-26",NA
1032,"NMSP","NMSP","","New Mon State Party",0,"","","",1,"310",NA,NA,0,"","",0,"",1,"MPF",1031,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-26","splinter"
1033,"BMA","BMA","","Beik Mon Army",0,"","","",1,"326",NA,NA,0,"","",0,"",1,"NMSP",1032,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-26","splinter"
